[INFO] 2025-06-09T03:49:37.980Z START RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_42b7a1940d80c9e5d1a1eb427219fad89ed0198775d719cc0f6171541419e487.json	 Bucket: denethor	 FilePath: mafdb/mafdb_42b7a1940d80c9e5d1a1eb427219fad89ed0198775d719cc0f6171541419e487.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_d7e79060050e13568977fc2c739b9eddf447a0cefe974cf809a00c1179f02def.json	 Bucket: denethor	 FilePath: mafdb/mafdb_d7e79060050e13568977fc2c739b9eddf447a0cefe974cf809a00c1179f02def.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.981Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_b61e3844996fd21e45a7d054f79694e53c5aede5327c90900ed7183119a56bfb.json	 Bucket: denethor	 FilePath: mafdb/mafdb_b61e3844996fd21e45a7d054f79694e53c5aede5327c90900ed7183119a56bfb.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_29c4ddd140d117364cadffd440f0642c27bbc2412f4567e0cb32891cc3ef36a1.json	 Bucket: denethor	 FilePath: mafdb/mafdb_29c4ddd140d117364cadffd440f0642c27bbc2412f4567e0cb32891cc3ef36a1.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4626fea2abf7ed35f5f28026640ab18610584687978217b1f40af22fe37f6572.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4626fea2abf7ed35f5f28026640ab18610584687978217b1f40af22fe37f6572.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_445b1fba33e16cd436442a3a77bf395f50fd97b749d80a4ea1cdfce773bb0774.json	 Bucket: denethor	 FilePath: mafdb/mafdb_445b1fba33e16cd436442a3a77bf395f50fd97b749d80a4ea1cdfce773bb0774.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_7aa0e0772e1c689c49550813d4d69f69cf00ce1c31ded8e93e9d062016b4ea81.json	 Bucket: denethor	 FilePath: mafdb/mafdb_7aa0e0772e1c689c49550813d4d69f69cf00ce1c31ded8e93e9d062016b4ea81.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a10de1e435f46b875ce088b70edd639bb15f15e47181e4a02fd1d3279f474a75.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a10de1e435f46b875ce088b70edd639bb15f15e47181e4a02fd1d3279f474a75.json	 FilePathLocal: .tmp/mafdb	 FileSize: 273 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e61287967464938dd8658e2b6f8063c95a2a8288b950145c07d8cd279f06fe96.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e61287967464938dd8658e2b6f8063c95a2a8288b950145c07d8cd279f06fe96.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-06-09T03:49:37.982Z FILE_TRANSFER RequestId: uuid_5351d66e_0936_4727_acbe_da42d108bf48	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_45d317fa4103ebc6a5ca76d68fd00bce02d7a5f088e6155430a660f0514147a3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_45d317fa4103ebc6a5ca76d68fd00bce02d7a5f088e6155430a660f0514147a3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
