es_id;se_id;statistics_id;value_float;value_integer;value_string
108;57;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
109;57;4;;;
110;57;5;;;
111;57;6;439.891848000002;;
112;58;7;;0;
113;58;8;;;{}
114;58;9;0.38966599998957463;;
115;59;1;129.69280100014657;;
116;60;1;253.95153799991022;;
117;61;1;1.5330860001085966;;
118;62;1;19.844207000005554;;
119;63;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
120;63;4;;;
121;63;5;;;
122;63;6;197.61362300005203;;
123;64;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
124;64;4;;;
125;64;5;;;
126;64;6;220.23937699987073;;
127;65;7;;0;
128;65;8;;;{}
129;65;9;0.3261509996264067;;
130;66;1;62.77336299999092;;
131;67;1;123.28764500000489;;
132;68;1;1.441901000021062;;
133;69;1;3.5466229999769894;;
134;70;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
135;70;4;;;
136;70;5;;;
137;70;6;92.09564500000056;;
138;71;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
139;71;4;;;
140;71;5;;;
141;71;6;96.31203600000049;;
142;72;7;;0;
143;72;8;;;{}
144;72;9;0.35270300003276134;;
145;73;1;28.223279000030743;;
146;74;1;64.07624799999212;;
147;75;1;1.389382999946065;;
148;76;1;3.394177000018317;;
149;77;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
150;77;4;;;
151;77;5;;;
152;77;6;40.986076000081084;;
153;78;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
154;78;4;;;
155;78;5;;;
156;78;6;37.40743499997734;;
157;79;7;;0;
158;79;8;;;{}
159;79;9;0.34091499992428;;
160;80;1;23.3280970001033;;
161;81;1;39.3706539998675;;
162;82;1;1.3183400001253176;;
163;83;1;3.181713999765634;;
164;84;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
165;84;4;;;
166;84;5;;;
167;84;6;23.96854399989934;;
168;85;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
169;85;4;;;
170;85;5;;;
171;85;6;24.646410999821455;;
172;86;7;;0;
173;86;8;;;{}
174;86;9;0.3414660000089498;;
175;87;1;300.3270469999961;;
176;88;1;542.639921999978;;
177;89;1;539.7940189999986;;
178;90;1;699.9883400000044;;
179;91;1;761.5053839999746;;
180;92;1;20.336139999926672;;
181;93;1;42.91377000004104;;
182;94;1;3.4315000000333384;;
183;95;1;2.514741000027243;;
184;96;1;19.506119999959992;;
185;97;3;;;['tree_ORTHOMCL1_Inner1.nexus', 'tree_ORTHOMCL1_Inner2.nexus', 'tree_ORTHOMCL1_Inner3.nexus']
186;97;4;;;
187;97;5;;;
188;97;6;1322.645072000114;;
189;98;3;;;['tree_ORTHOMCL256_Inner1.nexus', 'tree_ORTHOMCL256_Inner2.nexus', 'tree_ORTHOMCL256_Inner3.nexus', 'tree_ORTHOMCL256_Inner4.nexus', 'tree_ORTHOMCL256_Inner5.nexus', 'tree_ORTHOMCL256_Inner6.nexus', 'tree_ORTHOMCL256_Inner7.nexus', 'tree_ORTHOMCL256_Inner8.nexus']
190;98;4;;;
191;98;5;;;
192;98;6;3741.3922530001855;;
193;99;3;;;['tree_ORTHOMCL256_2_Inner1.nexus', 'tree_ORTHOMCL256_2_Inner2.nexus', 'tree_ORTHOMCL256_2_Inner3.nexus', 'tree_ORTHOMCL256_2_Inner4.nexus', 'tree_ORTHOMCL256_2_Inner5.nexus', 'tree_ORTHOMCL256_2_Inner6.nexus', 'tree_ORTHOMCL256_2_Inner7.nexus', 'tree_ORTHOMCL256_2_Inner8.nexus']
194;99;4;;;
195;99;5;;;
201;101;3;;;['tree_ORTHOMCL337_Inner1.nexus', 'tree_ORTHOMCL337_Inner2.nexus', 'tree_ORTHOMCL337_Inner3.nexus', 'tree_ORTHOMCL337_Inner4.nexus', 'tree_ORTHOMCL337_Inner5.nexus', 'tree_ORTHOMCL337_Inner6.nexus', 'tree_ORTHOMCL337_Inner7.nexus']
202;101;4;;;
203;101;5;;;
204;101;6;3023.147364999886;;
205;102;1;203.41120300008697;;
206;103;1;402.4366439999767;;
207;104;1;382.32118899998113;;
208;105;1;502.973408999992;;
