[INFO] 2025-04-20T19:25:28.805Z FILE_METRICS_START RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 242.623261177 ms	 ExecutionTag: file_metrics_tag_1745177128804
[INFO] 2025-04-20T19:25:32.103Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1113	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1113	 FilePathLocal: /tmp/files	 FileSize: 3462 bytes	 TransferDuration: 100.70978900000682 ms
[INFO] 2025-04-20T19:25:32.201Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1125	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1125	 FilePathLocal: /tmp/files	 FileSize: 2207 bytes	 TransferDuration: 97.93351000001849 ms
[INFO] 2025-04-20T19:25:32.299Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1126	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1126	 FilePathLocal: /tmp/files	 FileSize: 2026 bytes	 TransferDuration: 97.03821899998388 ms
[INFO] 2025-04-20T19:25:32.381Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1127	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1127	 FilePathLocal: /tmp/files	 FileSize: 4234 bytes	 TransferDuration: 82.61995000000866 ms
[INFO] 2025-04-20T19:25:32.461Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1129	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1129	 FilePathLocal: /tmp/files	 FileSize: 3292 bytes	 TransferDuration: 79.78943999998478 ms
[INFO] 2025-04-20T19:25:32.561Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1131	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1131	 FilePathLocal: /tmp/files	 FileSize: 4467 bytes	 TransferDuration: 99.7546290000173 ms
[INFO] 2025-04-20T19:25:32.641Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1135	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1135	 FilePathLocal: /tmp/files	 FileSize: 4854 bytes	 TransferDuration: 79.88337000000456 ms
[INFO] 2025-04-20T19:25:32.742Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1136	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1136	 FilePathLocal: /tmp/files	 FileSize: 4825 bytes	 TransferDuration: 100.2572799999939 ms
[INFO] 2025-04-20T19:25:32.841Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1146	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1146	 FilePathLocal: /tmp/files	 FileSize: 2757 bytes	 TransferDuration: 99.30412999997884 ms
[INFO] 2025-04-20T19:25:32.941Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1147	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1147	 FilePathLocal: /tmp/files	 FileSize: 3972 bytes	 TransferDuration: 99.64973099999952 ms
[INFO] 2025-04-20T19:25:33.039Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1166	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1166	 FilePathLocal: /tmp/files	 FileSize: 2896 bytes	 TransferDuration: 97.331539999999 ms
[INFO] 2025-04-20T19:25:33.110Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1305	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1305	 FilePathLocal: /tmp/files	 FileSize: 3650 bytes	 TransferDuration: 71.16687999999272 ms
[INFO] 2025-04-20T19:25:33.212Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1311	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1311	 FilePathLocal: /tmp/files	 FileSize: 5874 bytes	 TransferDuration: 101.38795899999309 ms
[INFO] 2025-04-20T19:25:33.301Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1313	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1313	 FilePathLocal: /tmp/files	 FileSize: 4268 bytes	 TransferDuration: 89.46287999998503 ms
[INFO] 2025-04-20T19:25:33.382Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1314	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1314	 FilePathLocal: /tmp/files	 FileSize: 3952 bytes	 TransferDuration: 79.93493999998691 ms
[INFO] 2025-04-20T19:25:33.491Z FILE_TRANSFER RequestId: 51ad6ba7-a5bb-40f0-bc61-003fa4899934	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1316	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1316	 FilePathLocal: /tmp/files	 FileSize: 4670 bytes	 TransferDuration: 108.99096999997937 ms
