[INFO] 2025-05-03T23:20:21.583Z FILE_METRICS_START RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 921.893793673 ms	 ExecutionTag: file_metrics_tag_1746314421583
[INFO] 2025-05-03T23:20:25.541Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 102.2223169999279 ms
[INFO] 2025-05-03T23:20:25.689Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 147.86218000006102 ms
[INFO] 2025-05-03T23:20:25.798Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1007_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1007_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 108.61965599997347 ms
[INFO] 2025-05-03T23:20:25.899Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 100.18201399998361 ms
[INFO] 2025-05-03T23:20:26.010Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 110.85130699996171 ms
[INFO] 2025-05-03T23:20:26.129Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 119.56383299991558 ms
[INFO] 2025-05-03T23:20:26.230Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 100.14745999990282 ms
[INFO] 2025-05-03T23:20:26.350Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.69791900003202 ms
[INFO] 2025-05-03T23:20:26.470Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 191 bytes	 TransferDuration: 119.65907000001152 ms
[INFO] 2025-05-03T23:20:26.590Z FILE_TRANSFER RequestId: 33a32cc5-50c0-4a44-8c94-59e5da8a842f	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.72558299999037 ms
