[INFO] 2025-05-03T23:19:08.770Z FILE_METRICS_START RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 S3Key: tree	 Provider: aws_lambda	 StartTime: 849.060403081 ms	 ExecutionTag: file_metrics_tag_1746314348750
[INFO] 2025-05-03T23:19:14.590Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1370.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1370.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.80069200001253 ms
[INFO] 2025-05-03T23:19:14.696Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1374.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1374.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 105.63205500000095 ms
[INFO] 2025-05-03T23:19:14.810Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1375.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1375.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 113.92735299989454 ms
[INFO] 2025-05-03T23:19:15.170Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1378.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 359.79321000002074 ms
[INFO] 2025-05-03T23:19:15.290Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1385.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1385.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.8091310000109 ms
[INFO] 2025-05-03T23:19:15.390Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1403.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1403.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.74008500000764 ms
[INFO] 2025-05-03T23:19:15.490Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1404.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1404.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.78761200000008 ms
[INFO] 2025-05-03T23:19:15.590Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1408.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1408.nexus	 FilePathLocal: /tmp/files	 FileSize: 353 bytes	 TransferDuration: 99.85023399997317 ms
[INFO] 2025-05-03T23:19:15.690Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1410.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1410.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.7885369999949 ms
[INFO] 2025-05-03T23:19:15.810Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1442.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1442.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.74056999997629 ms
[INFO] 2025-05-03T23:19:15.910Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1464.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1464.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.8638660000779 ms
[INFO] 2025-05-03T23:19:16.030Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1480.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1480.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.71017799999117 ms
[INFO] 2025-05-03T23:19:16.130Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1490.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.78741700001592 ms
[INFO] 2025-05-03T23:19:16.230Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1491.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1491.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.85155800006851 ms
[INFO] 2025-05-03T23:19:16.330Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1518.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1518.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.77532799996425 ms
[INFO] 2025-05-03T23:19:16.470Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1527.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1527.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 139.7740290000229 ms
[INFO] 2025-05-03T23:19:16.570Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1541.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1541.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.88909699995929 ms
[INFO] 2025-05-03T23:19:16.670Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1591.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1591.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.77925300006518 ms
[INFO] 2025-05-03T23:19:16.790Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1619.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1619.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 119.84026799996172 ms
[INFO] 2025-05-03T23:19:16.890Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1677.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1677.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 99.84760500003631 ms
[INFO] 2025-05-03T23:19:17.030Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1678.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1678.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 139.66816499998913 ms
[INFO] 2025-05-03T23:19:17.130Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1686.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1686.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.91807200003677 ms
[INFO] 2025-05-03T23:19:17.230Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1706.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1706.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 100.05777100002433 ms
[INFO] 2025-05-03T23:19:17.350Z FILE_TRANSFER RequestId: 27deee81-b573-4478-bfb7-b985fc7593d7	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1762.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1762.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.55798500002857 ms
