[INFO] 2025-04-20T22:00:29.082Z FILE_METRICS_START RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 S3Key: tree	 Provider: aws_lambda	 StartTime: 1494.575633334 ms	 ExecutionTag: file_metrics_tag_1745186429082
[INFO] 2025-04-20T22:00:32.806Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1104.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1104.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.73402800003896 ms
[INFO] 2025-04-20T22:00:32.986Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1113.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1113.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 179.80201000000307 ms
[INFO] 2025-04-20T22:00:33.107Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1125.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1125.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.81996100007564 ms
[INFO] 2025-04-20T22:00:33.226Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1126.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1126.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.74302799990255 ms
[INFO] 2025-04-20T22:00:33.367Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1127.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1127.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 139.8361550000118 ms
[INFO] 2025-04-20T22:00:33.506Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1129.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1129.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 139.4469100000606 ms
[INFO] 2025-04-20T22:00:33.626Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1131.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1131.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 120.01768699997228 ms
[INFO] 2025-04-20T22:00:33.767Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1135.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1135.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 139.833519999911 ms
[INFO] 2025-04-20T22:00:33.906Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1136.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 139.43700499999068 ms
[INFO] 2025-04-20T22:00:34.027Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1146.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1146.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 120.08013300010134 ms
[INFO] 2025-04-20T22:00:34.147Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1147.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1147.nexus	 FilePathLocal: /tmp/files	 FileSize: 409 bytes	 TransferDuration: 120.11580299986235 ms
[INFO] 2025-04-20T22:00:34.286Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1166.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1166.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 139.4088050001301 ms
[INFO] 2025-04-20T22:00:34.406Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1305.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.66259999985596 ms
[INFO] 2025-04-20T22:00:34.547Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1311.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1311.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 139.9447449998661 ms
[INFO] 2025-04-20T22:00:34.686Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1313.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1313.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 139.68561999990925 ms
[INFO] 2025-04-20T22:00:34.806Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1314.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1314.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.7950440000568 ms
[INFO] 2025-04-20T22:00:34.947Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1316.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 139.8704099999577 ms
[INFO] 2025-04-20T22:00:35.086Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1334.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1334.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 139.44377899997562 ms
[INFO] 2025-04-20T22:00:35.206Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1352.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1352.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.86529700016035 ms
[INFO] 2025-04-20T22:00:35.326Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1359.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1359.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.82144900002822 ms
[INFO] 2025-04-20T22:00:35.446Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1363.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1363.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.7850109999763 ms
[INFO] 2025-04-20T22:00:35.567Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1370.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1370.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.94684000001143 ms
[INFO] 2025-04-20T22:00:35.686Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1374.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1374.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.7153430000526 ms
[INFO] 2025-04-20T22:00:35.806Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1375.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1375.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.79171799998767 ms
[INFO] 2025-04-20T22:00:36.167Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1378.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 359.9213569998483 ms
[INFO] 2025-04-20T22:00:36.287Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1385.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1385.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.62885899993125 ms
[INFO] 2025-04-20T22:00:36.406Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1403.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1403.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.71455499997319 ms
[INFO] 2025-04-20T22:00:36.527Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1404.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1404.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.88194199989266 ms
[INFO] 2025-04-20T22:00:36.646Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1408.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1408.nexus	 FilePathLocal: /tmp/files	 FileSize: 353 bytes	 TransferDuration: 119.59611499992207 ms
[INFO] 2025-04-20T22:00:36.776Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1410.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1410.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 129.30595800003175 ms
[INFO] 2025-04-20T22:00:36.886Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1442.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1442.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 110.28814199994486 ms
[INFO] 2025-04-20T22:00:37.006Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1464.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1464.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.85936099995342 ms
[INFO] 2025-04-20T22:00:37.126Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1480.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1480.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.77469899989046 ms
[INFO] 2025-04-20T22:00:37.246Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1490.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.83037000004515 ms
[INFO] 2025-04-20T22:00:37.369Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1491.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1491.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 122.6641569999174 ms
[INFO] 2025-04-20T22:00:37.486Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1518.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1518.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 116.8750120000368 ms
[INFO] 2025-04-20T22:00:37.647Z FILE_TRANSFER RequestId: 3a72e654-d232-4b5e-b6d2-fb1248d9cfde	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1527.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1527.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 159.89973500018095 ms
