[INFO] 2025-04-20T21:49:23.147Z FILE_METRICS_START RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 S3Key: tree	 Provider: aws_lambda	 StartTime: 828.634293773 ms	 ExecutionTag: file_metrics_tag_1745185763146
[INFO] 2025-04-20T21:49:27.293Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1127.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1127.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 105.88579299997036 ms
[INFO] 2025-04-20T21:49:27.412Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1129.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1129.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 119.42645499993887 ms
[INFO] 2025-04-20T21:49:27.532Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1131.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1131.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.76182400007929 ms
[INFO] 2025-04-20T21:49:27.653Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1135.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1135.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.83338600009574 ms
[INFO] 2025-04-20T21:49:27.782Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1136.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 128.89726799994605 ms
[INFO] 2025-04-20T21:49:27.892Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1146.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1146.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 110.67777200003093 ms
[INFO] 2025-04-20T21:49:28.012Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1147.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1147.nexus	 FilePathLocal: /tmp/files	 FileSize: 409 bytes	 TransferDuration: 119.72986299997501 ms
[INFO] 2025-04-20T21:49:28.133Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1166.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1166.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.8564260000694 ms
[INFO] 2025-04-20T21:49:28.253Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1305.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.84949299994696 ms
[INFO] 2025-04-20T21:49:28.373Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1311.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1311.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.76986099989517 ms
[INFO] 2025-04-20T21:49:28.492Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1313.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1313.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.74383999995553 ms
[INFO] 2025-04-20T21:49:28.612Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1314.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1314.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.72274100003233 ms
[INFO] 2025-04-20T21:49:28.732Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1316.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.64228700003332 ms
[INFO] 2025-04-20T21:49:28.852Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1334.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1334.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.93468100001792 ms
[INFO] 2025-04-20T21:49:28.992Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1352.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1352.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 139.78151499998148 ms
[INFO] 2025-04-20T21:49:29.113Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1359.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1359.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.80233199994927 ms
[INFO] 2025-04-20T21:49:29.233Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1363.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1363.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 120.05261499996323 ms
[INFO] 2025-04-20T21:49:29.352Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1370.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1370.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.51123100004679 ms
[INFO] 2025-04-20T21:49:29.493Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1374.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1374.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 139.79603899997528 ms
[INFO] 2025-04-20T21:49:29.613Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1375.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1375.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.78121699996791 ms
[INFO] 2025-04-20T21:49:29.953Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1378.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 339.79737399999976 ms
[INFO] 2025-04-20T21:49:30.073Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1385.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1385.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.72744199999852 ms
[INFO] 2025-04-20T21:49:30.193Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1403.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1403.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.78588699992088 ms
[INFO] 2025-04-20T21:49:30.313Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1404.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1404.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.78886500003227 ms
[INFO] 2025-04-20T21:49:30.433Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1408.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1408.nexus	 FilePathLocal: /tmp/files	 FileSize: 353 bytes	 TransferDuration: 119.76116200003162 ms
[INFO] 2025-04-20T21:49:30.553Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1410.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1410.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.78353699998934 ms
[INFO] 2025-04-20T21:49:30.672Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1442.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1442.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.77769100008118 ms
[INFO] 2025-04-20T21:49:30.792Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1464.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1464.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 119.77323500002512 ms
[INFO] 2025-04-20T21:49:30.932Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1480.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1480.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 139.77441200006524 ms
[INFO] 2025-04-20T21:49:31.033Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1490.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.83299299994997 ms
[INFO] 2025-04-20T21:49:31.153Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1491.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1491.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.74050600008468 ms
[INFO] 2025-04-20T21:49:31.272Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1518.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1518.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.74248199999238 ms
[INFO] 2025-04-20T21:49:31.392Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1527.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1527.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 119.81173699996361 ms
[INFO] 2025-04-20T21:49:31.492Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1541.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1541.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 99.7831119999546 ms
[INFO] 2025-04-20T21:49:31.612Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1591.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1591.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.74769800008289 ms
[INFO] 2025-04-20T21:49:31.753Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1619.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1619.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 139.8445789999414 ms
[INFO] 2025-04-20T21:49:31.872Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1677.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1677.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 119.72528699993745 ms
[INFO] 2025-04-20T21:49:31.993Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1678.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1678.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 119.84021899991149 ms
[INFO] 2025-04-20T21:49:32.133Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1686.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1686.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 139.78703099996892 ms
[INFO] 2025-04-20T21:49:32.256Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1706.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1706.nexus	 FilePathLocal: /tmp/files	 FileSize: 355 bytes	 TransferDuration: 123.18382199998723 ms
[INFO] 2025-04-20T21:49:32.372Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1762.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1762.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 116.38394800002061 ms
[INFO] 2025-04-20T21:49:32.492Z FILE_TRANSFER RequestId: b526d750-c3c1-460a-9b66-14ce11df268a	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1770.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1770.nexus	 FilePathLocal: /tmp/files	 FileSize: 347 bytes	 TransferDuration: 119.78416299996297 ms
