[INFO] 2025-04-20T21:58:06.840Z FILE_METRICS_START RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 1352.332139576 ms	 ExecutionTag: file_metrics_tag_1745186286839
[INFO] 2025-04-20T21:58:10.048Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1083	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1083	 FilePathLocal: /tmp/files	 FileSize: 3087 bytes	 TransferDuration: 119.73403000001781 ms
[INFO] 2025-04-20T21:58:10.168Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1087	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1087	 FilePathLocal: /tmp/files	 FileSize: 4000 bytes	 TransferDuration: 119.82191299989609 ms
[INFO] 2025-04-20T21:58:10.288Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1092	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1092	 FilePathLocal: /tmp/files	 FileSize: 2936 bytes	 TransferDuration: 119.8532589999104 ms
[INFO] 2025-04-20T21:58:10.408Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1100	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1100	 FilePathLocal: /tmp/files	 FileSize: 3467 bytes	 TransferDuration: 119.68939500002307 ms
[INFO] 2025-04-20T21:58:10.548Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1104	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1104	 FilePathLocal: /tmp/files	 FileSize: 4686 bytes	 TransferDuration: 139.86498100007339 ms
[INFO] 2025-04-20T21:58:10.668Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1113	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1113	 FilePathLocal: /tmp/files	 FileSize: 3462 bytes	 TransferDuration: 119.98643800006903 ms
[INFO] 2025-04-20T21:58:10.808Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1125	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1125	 FilePathLocal: /tmp/files	 FileSize: 2207 bytes	 TransferDuration: 139.53767099997094 ms
[INFO] 2025-04-20T21:58:10.928Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1126	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1126	 FilePathLocal: /tmp/files	 FileSize: 2026 bytes	 TransferDuration: 119.84471499999927 ms
[INFO] 2025-04-20T21:58:11.048Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1127	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1127	 FilePathLocal: /tmp/files	 FileSize: 4234 bytes	 TransferDuration: 120.1649299998735 ms
[INFO] 2025-04-20T21:58:11.188Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1129	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1129	 FilePathLocal: /tmp/files	 FileSize: 3292 bytes	 TransferDuration: 139.23816800001987 ms
[INFO] 2025-04-20T21:58:11.308Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1131	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1131	 FilePathLocal: /tmp/files	 FileSize: 4467 bytes	 TransferDuration: 120.07072699998389 ms
[INFO] 2025-04-20T21:58:11.428Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1135	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1135	 FilePathLocal: /tmp/files	 FileSize: 4854 bytes	 TransferDuration: 119.68737000006513 ms
[INFO] 2025-04-20T21:58:11.548Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1136	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1136	 FilePathLocal: /tmp/files	 FileSize: 4825 bytes	 TransferDuration: 119.53792100007377 ms
[INFO] 2025-04-20T21:58:11.673Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1146	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1146	 FilePathLocal: /tmp/files	 FileSize: 2757 bytes	 TransferDuration: 125.10867300011341 ms
[INFO] 2025-04-20T21:58:11.808Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1147	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1147	 FilePathLocal: /tmp/files	 FileSize: 3972 bytes	 TransferDuration: 134.64663700005985 ms
[INFO] 2025-04-20T21:58:11.928Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1166	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1166	 FilePathLocal: /tmp/files	 FileSize: 2896 bytes	 TransferDuration: 120.00380500012398 ms
[INFO] 2025-04-20T21:58:12.048Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1305	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1305	 FilePathLocal: /tmp/files	 FileSize: 3650 bytes	 TransferDuration: 119.54243700006373 ms
[INFO] 2025-04-20T21:58:12.168Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1311	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1311	 FilePathLocal: /tmp/files	 FileSize: 5874 bytes	 TransferDuration: 119.90193800011184 ms
[INFO] 2025-04-20T21:58:12.288Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1313	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1313	 FilePathLocal: /tmp/files	 FileSize: 4268 bytes	 TransferDuration: 119.81996200006506 ms
[INFO] 2025-04-20T21:58:12.408Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1314	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1314	 FilePathLocal: /tmp/files	 FileSize: 3952 bytes	 TransferDuration: 119.7315179999805 ms
[INFO] 2025-04-20T21:58:12.528Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1316	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1316	 FilePathLocal: /tmp/files	 FileSize: 4670 bytes	 TransferDuration: 119.86824800010254 ms
[INFO] 2025-04-20T21:58:12.648Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1334	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1334	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 119.59984500003884 ms
[INFO] 2025-04-20T21:58:12.808Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1352	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1352	 FilePathLocal: /tmp/files	 FileSize: 4946 bytes	 TransferDuration: 159.7164459999476 ms
[INFO] 2025-04-20T21:58:12.928Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1359	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1359	 FilePathLocal: /tmp/files	 FileSize: 4020 bytes	 TransferDuration: 119.93134399995142 ms
[INFO] 2025-04-20T21:58:13.048Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1363	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1363	 FilePathLocal: /tmp/files	 FileSize: 4532 bytes	 TransferDuration: 119.87479200001872 ms
[INFO] 2025-04-20T21:58:13.168Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1370	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1370	 FilePathLocal: /tmp/files	 FileSize: 3584 bytes	 TransferDuration: 119.64912600001298 ms
[INFO] 2025-04-20T21:58:13.308Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1374	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1374	 FilePathLocal: /tmp/files	 FileSize: 6252 bytes	 TransferDuration: 139.87651599995843 ms
[INFO] 2025-04-20T21:58:13.428Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1375	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1375	 FilePathLocal: /tmp/files	 FileSize: 3266 bytes	 TransferDuration: 120.39904899984322 ms
[INFO] 2025-04-20T21:58:13.768Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1378	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1378	 FilePathLocal: /tmp/files	 FileSize: 5640 bytes	 TransferDuration: 339.29734999992434 ms
[INFO] 2025-04-20T21:58:13.888Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1385	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1385	 FilePathLocal: /tmp/files	 FileSize: 4930 bytes	 TransferDuration: 119.52607300008822 ms
[INFO] 2025-04-20T21:58:14.008Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1403	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1403	 FilePathLocal: /tmp/files	 FileSize: 2526 bytes	 TransferDuration: 119.8581070000273 ms
[INFO] 2025-04-20T21:58:14.128Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1404	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1404	 FilePathLocal: /tmp/files	 FileSize: 3346 bytes	 TransferDuration: 119.73917000000256 ms
[INFO] 2025-04-20T21:58:14.248Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1408	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1408	 FilePathLocal: /tmp/files	 FileSize: 2358 bytes	 TransferDuration: 119.86261199990622 ms
[INFO] 2025-04-20T21:58:14.388Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1410	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1410	 FilePathLocal: /tmp/files	 FileSize: 6196 bytes	 TransferDuration: 139.58876099991357 ms
[INFO] 2025-04-20T21:58:14.508Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1442	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1442	 FilePathLocal: /tmp/files	 FileSize: 3846 bytes	 TransferDuration: 119.96082600012414 ms
[INFO] 2025-04-20T21:58:14.628Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1464	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1464	 FilePathLocal: /tmp/files	 FileSize: 4278 bytes	 TransferDuration: 119.8830989999351 ms
[INFO] 2025-04-20T21:58:14.768Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1480	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1480	 FilePathLocal: /tmp/files	 FileSize: 5848 bytes	 TransferDuration: 139.3612959998336 ms
[INFO] 2025-04-20T21:58:14.868Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1490	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1490	 FilePathLocal: /tmp/files	 FileSize: 5188 bytes	 TransferDuration: 99.99631900018358 ms
[INFO] 2025-04-20T21:58:15.008Z FILE_TRANSFER RequestId: 041685d3-be8b-4040-a6cb-1ef8d6521905	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1491	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1491	 FilePathLocal: /tmp/files	 FileSize: 3740 bytes	 TransferDuration: 139.676129999998 ms
