[INFO] 2025-05-07T17:03:53.780Z FILE_METRICS_START RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 432.437500842 ms	 ExecutionTag: file_metrics_tag_1746637433779
[INFO] 2025-05-07T17:03:59.122Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1136	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1136	 FilePathLocal: /tmp/files	 FileSize: 4825 bytes	 TransferDuration: 139.8604609999552 ms
[INFO] 2025-05-07T17:03:59.262Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1146	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1146	 FilePathLocal: /tmp/files	 FileSize: 2757 bytes	 TransferDuration: 139.755010999977 ms
[INFO] 2025-05-07T17:03:59.362Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1147	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1147	 FilePathLocal: /tmp/files	 FileSize: 3972 bytes	 TransferDuration: 99.73981500002083 ms
[INFO] 2025-05-07T17:03:59.462Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1166	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1166	 FilePathLocal: /tmp/files	 FileSize: 2896 bytes	 TransferDuration: 99.77399500002093 ms
[INFO] 2025-05-07T17:03:59.562Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1305	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1305	 FilePathLocal: /tmp/files	 FileSize: 3650 bytes	 TransferDuration: 99.71803299998783 ms
[INFO] 2025-05-07T17:03:59.682Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1311	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1311	 FilePathLocal: /tmp/files	 FileSize: 5874 bytes	 TransferDuration: 119.6961449999776 ms
[INFO] 2025-05-07T17:04:00.022Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1313	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1313	 FilePathLocal: /tmp/files	 FileSize: 4268 bytes	 TransferDuration: 339.7878920000039 ms
[INFO] 2025-05-07T17:04:00.142Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1314	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1314	 FilePathLocal: /tmp/files	 FileSize: 3952 bytes	 TransferDuration: 119.63205900002549 ms
[INFO] 2025-05-07T17:04:00.256Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1316	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1316	 FilePathLocal: /tmp/files	 FileSize: 4670 bytes	 TransferDuration: 113.60564000000295 ms
[INFO] 2025-05-07T17:04:00.562Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1334	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1334	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 305.9120319999806 ms
[INFO] 2025-05-07T17:04:00.662Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1352	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1352	 FilePathLocal: /tmp/files	 FileSize: 4946 bytes	 TransferDuration: 99.8033390000046 ms
[INFO] 2025-05-07T17:04:00.769Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1359	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1359	 FilePathLocal: /tmp/files	 FileSize: 4020 bytes	 TransferDuration: 106.36582500001168 ms
[INFO] 2025-05-07T17:04:00.882Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1363	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1363	 FilePathLocal: /tmp/files	 FileSize: 4532 bytes	 TransferDuration: 113.06050100000675 ms
[INFO] 2025-05-07T17:04:00.986Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1370	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1370	 FilePathLocal: /tmp/files	 FileSize: 3584 bytes	 TransferDuration: 103.8647360000482 ms
[INFO] 2025-05-07T17:04:01.104Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1374	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1374	 FilePathLocal: /tmp/files	 FileSize: 6252 bytes	 TransferDuration: 117.3039750000271 ms
[INFO] 2025-05-07T17:04:01.260Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1375	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1375	 FilePathLocal: /tmp/files	 FileSize: 3266 bytes	 TransferDuration: 156.0701839999865 ms
[INFO] 2025-05-07T17:04:01.662Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1378	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1378	 FilePathLocal: /tmp/files	 FileSize: 5640 bytes	 TransferDuration: 401.8770359999735 ms
[INFO] 2025-05-07T17:04:01.842Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1385	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1385	 FilePathLocal: /tmp/files	 FileSize: 4930 bytes	 TransferDuration: 179.65377799998805 ms
[INFO] 2025-05-07T17:04:01.942Z FILE_TRANSFER RequestId: 4832e3e0-bdee-4829-9526-1704a6e06ffa	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1403	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1403	 FilePathLocal: /tmp/files	 FileSize: 2526 bytes	 TransferDuration: 99.68243600002324 ms
