[INFO] 2025-04-20T21:45:48.988Z FILE_METRICS_START RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 614.472896783 ms	 ExecutionTag: file_metrics_tag_1745185548987
[INFO] 2025-04-20T21:45:54.094Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1146	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1146	 FilePathLocal: /tmp/files	 FileSize: 2757 bytes	 TransferDuration: 116.95680299999367 ms
[INFO] 2025-04-20T21:45:54.215Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1147	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1147	 FilePathLocal: /tmp/files	 FileSize: 3972 bytes	 TransferDuration: 120.17635200004406 ms
[INFO] 2025-04-20T21:45:54.334Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1166	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1166	 FilePathLocal: /tmp/files	 FileSize: 2896 bytes	 TransferDuration: 119.32434200002717 ms
[INFO] 2025-04-20T21:45:54.462Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1305	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1305	 FilePathLocal: /tmp/files	 FileSize: 3650 bytes	 TransferDuration: 127.21604400007891 ms
[INFO] 2025-04-20T21:45:54.574Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1311	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1311	 FilePathLocal: /tmp/files	 FileSize: 5874 bytes	 TransferDuration: 112.47698499994385 ms
[INFO] 2025-04-20T21:45:54.935Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1313	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1313	 FilePathLocal: /tmp/files	 FileSize: 4268 bytes	 TransferDuration: 359.8009770000772 ms
[INFO] 2025-04-20T21:45:55.034Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1314	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1314	 FilePathLocal: /tmp/files	 FileSize: 3952 bytes	 TransferDuration: 99.69920699995782 ms
[INFO] 2025-04-20T21:45:55.154Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1316	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1316	 FilePathLocal: /tmp/files	 FileSize: 4670 bytes	 TransferDuration: 119.76593200006391 ms
[INFO] 2025-04-20T21:45:55.294Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1334	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1334	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 139.88300000005438 ms
[INFO] 2025-04-20T21:45:55.414Z FILE_TRANSFER RequestId: 9ad5349c-09a1-41f0-bd6e-247bdc9cc370	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1352	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1352	 FilePathLocal: /tmp/files	 FileSize: 4946 bytes	 TransferDuration: 119.78644699991037 ms
