[INFO] 2025-04-24T19:16:24.125Z START RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL515_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL515_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 463 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL524_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL524_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL524_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL524_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL524_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL524_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL524_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL524_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 303 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL524_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL524_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 465 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 309 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:24.126Z FILE_TRANSFER RequestId: uuid_e610b82e_91ab_4566_82be_62e903d95210	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL609_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL609_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 365 bytes	 TransferDuration: 0 ms
