[INFO] 2025-04-24T19:18:15.869Z START RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_5f9438b2176a3f1de183e4e4beed7bba44407448bf813b980737577bbda05693.json	 Bucket: denethor	 FilePath: mafdb/mafdb_5f9438b2176a3f1de183e4e4beed7bba44407448bf813b980737577bbda05693.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_96f411db25a5507e2f8c83f07de2e32793bb5c2b863cd4f9c33afc286860da9b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_96f411db25a5507e2f8c83f07de2e32793bb5c2b863cd4f9c33afc286860da9b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_52a4f806fca7da8198522b8967c3d358527c3187304e57988708d831f58faa8d.json	 Bucket: denethor	 FilePath: mafdb/mafdb_52a4f806fca7da8198522b8967c3d358527c3187304e57988708d831f58faa8d.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a1bfbcddbd0327f872ff3e6b2d5dcbed9e804641918b58e4b469cf077329c2cd.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a1bfbcddbd0327f872ff3e6b2d5dcbed9e804641918b58e4b469cf077329c2cd.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_416977dcfe213f249e0199c9fd30ee91ee5d5f76c7063d5e8480380c88daae5c.json	 Bucket: denethor	 FilePath: mafdb/mafdb_416977dcfe213f249e0199c9fd30ee91ee5d5f76c7063d5e8480380c88daae5c.json	 FilePathLocal: .tmp/mafdb	 FileSize: 232 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_0a8e580175a5a3df6e03961614b2b8cbb71dfdf569da590702b160aaf877127b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_0a8e580175a5a3df6e03961614b2b8cbb71dfdf569da590702b160aaf877127b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_80fb21b57fa7d4a4e0c02d4b698ba833f7ac811c933c49e65adfdf08249f04c5.json	 Bucket: denethor	 FilePath: mafdb/mafdb_80fb21b57fa7d4a4e0c02d4b698ba833f7ac811c933c49e65adfdf08249f04c5.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_2cd07b4754913f8c45ff5e321c894937faa1dcee4409f0a9352ab164f3ab8dc2.json	 Bucket: denethor	 FilePath: mafdb/mafdb_2cd07b4754913f8c45ff5e321c894937faa1dcee4409f0a9352ab164f3ab8dc2.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a16e0ac07d1950ab727769d0eb177e1d9dc671c752f386544f000cfecf73f200.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a16e0ac07d1950ab727769d0eb177e1d9dc671c752f386544f000cfecf73f200.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:18:15.870Z FILE_TRANSFER RequestId: uuid_d6a7ca60_d918_4ffc_9456_d3872bb4967a	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a5fa5463d23675efa6d77a8b373d81846a8f946ee4363e05ac855926bcd850cb.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a5fa5463d23675efa6d77a8b373d81846a8f946ee4363e05ac855926bcd850cb.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
