[INFO] 2025-04-24T19:15:28.745Z START RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:15:28.746Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1305_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.746Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1305_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1305_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 357 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1316_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1316_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1316_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 357 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1490_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1490_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1490_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1490_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 347 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:15:28.747Z FILE_TRANSFER RequestId: uuid_8564e4a6_143f_45dd_bc22_991751709eae	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1965_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1965_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
