[INFO] 2025-04-24T19:16:04.688Z START RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-24T19:16:04.688Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.688Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.688Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 307 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 461 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL659_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL659_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL659_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL659_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 193 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL659_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL659_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL659_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL659_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 257 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-24T19:16:04.689Z FILE_TRANSFER RequestId: uuid_3a884c96_55dd_4ae8_8088_6c2a4aaff569	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL659_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL659_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 469 bytes	 TransferDuration: 0 ms
