[INFO] 2025-04-22T16:16:39.906Z START RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_e788a4f75970a6e5150aa560c2ad5e402a7be72297265322d36b26bd44850036.json	 Bucket: denethor	 FilePath: mafdb/mafdb_e788a4f75970a6e5150aa560c2ad5e402a7be72297265322d36b26bd44850036.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a685dcc84ba5d5e38925c5631342c458cecda2bbfda8ec6d292863c380027b30.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a685dcc84ba5d5e38925c5631342c458cecda2bbfda8ec6d292863c380027b30.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_6febe45619a64f41534b7849821df9e5f2a16cc6502a1d862c57cbd0c8b5d2df.json	 Bucket: denethor	 FilePath: mafdb/mafdb_6febe45619a64f41534b7849821df9e5f2a16cc6502a1d862c57cbd0c8b5d2df.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_1fde71c89b03056f957ad662091bcb5e1357a8c45e853f80f45ba56982d70500.json	 Bucket: denethor	 FilePath: mafdb/mafdb_1fde71c89b03056f957ad662091bcb5e1357a8c45e853f80f45ba56982d70500.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_00a3f572cc1fc8e5d20ab4dfb79235b5a032989fc11491f76265acd17bc9137b.json	 Bucket: denethor	 FilePath: mafdb/mafdb_00a3f572cc1fc8e5d20ab4dfb79235b5a032989fc11491f76265acd17bc9137b.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_69cda016f2a4bfc1e9aceffb57b233d895c1a8b8d643e1641d776f0a1e3b0d52.json	 Bucket: denethor	 FilePath: mafdb/mafdb_69cda016f2a4bfc1e9aceffb57b233d895c1a8b8d643e1641d776f0a1e3b0d52.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_43869745aab3d63dfa68e4f287f1921924af17cf1395c9b35aca9cdc036d2b6a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_43869745aab3d63dfa68e4f287f1921924af17cf1395c9b35aca9cdc036d2b6a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 236 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_1bc211752a94b2c578560693e27c96c128aefdf6439e0fc20a27028f333f2ca9.json	 Bucket: denethor	 FilePath: mafdb/mafdb_1bc211752a94b2c578560693e27c96c128aefdf6439e0fc20a27028f333f2ca9.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_4555f69ce2c58254e8c25f01438d2c0763c3570e1c0d44ad7c518af8cc48fab3.json	 Bucket: denethor	 FilePath: mafdb/mafdb_4555f69ce2c58254e8c25f01438d2c0763c3570e1c0d44ad7c518af8cc48fab3.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:39.907Z FILE_TRANSFER RequestId: uuid_9196ccf6_8242_402e_a0f4_ce653a6ad5e2	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_b01c70625d40044b20af14722564250f95f908a1e2ad6f32ed1c6589cfe47fc4.json	 Bucket: denethor	 FilePath: mafdb/mafdb_b01c70625d40044b20af14722564250f95f908a1e2ad6f32ed1c6589cfe47fc4.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
