[INFO] 2025-04-22T16:16:00.077Z START RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL626_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL626_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 463 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL648_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL648_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL648_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL648_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL648_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL648_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 241 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL648_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL648_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL648_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL648_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 461 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 307 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 183 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL650_Inner5.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL650_Inner5.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 461 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:16:00.078Z FILE_TRANSFER RequestId: uuid_84d5947c_ea14_4526_9df5_75f492c924e2	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL744_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL744_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 243 bytes	 TransferDuration: 0 ms
