[INFO] 2025-04-22T16:14:52.945Z START RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1136_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1136_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1136_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1136_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 403 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1378_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1378_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 249 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1378_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1378_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 349 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1813_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1813_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1813_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1813_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:14:52.946Z FILE_TRANSFER RequestId: uuid_b6f35b34_8d63_45bc_9ad7_7640dba954f4	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1813_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1813_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 339 bytes	 TransferDuration: 0 ms
