[INFO] 2025-04-22T16:17:12.981Z START RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 Activity: maf_database_aggregator	 Provider: aws_ec2
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_8549b58233c57cc518f27f3d21b4551282ded33f8e0e846bc3ef39561d71f517.json	 Bucket: denethor	 FilePath: mafdb/mafdb_8549b58233c57cc518f27f3d21b4551282ded33f8e0e846bc3ef39561d71f517.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_0a39507586559708493bbf49d68595605a88ad4447c7dda2bb7808b0d368d0a6.json	 Bucket: denethor	 FilePath: mafdb/mafdb_0a39507586559708493bbf49d68595605a88ad4447c7dda2bb7808b0d368d0a6.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_9e89a2d9626232c9cf6bb22415e28ee791fac0d91f5cb8de0762d9421c522216.json	 Bucket: denethor	 FilePath: mafdb/mafdb_9e89a2d9626232c9cf6bb22415e28ee791fac0d91f5cb8de0762d9421c522216.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_71e9833f3ea4a65edd4eec8abc96b355dbbc4341d38f183a3772958d855c9a2a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_71e9833f3ea4a65edd4eec8abc96b355dbbc4341d38f183a3772958d855c9a2a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_9fea3d3367f7d31b187bb16dfbc03548461beefa3c49e595c6f3f6009461d8c2.json	 Bucket: denethor	 FilePath: mafdb/mafdb_9fea3d3367f7d31b187bb16dfbc03548461beefa3c49e595c6f3f6009461d8c2.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_87f495a654f8fffa1d25955a84941edcdd31d3037b6c7f07d7c3e5849adb4c68.json	 Bucket: denethor	 FilePath: mafdb/mafdb_87f495a654f8fffa1d25955a84941edcdd31d3037b6c7f07d7c3e5849adb4c68.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_ef4846779bd2a38fad411bfd1dde1cf87f3cd8dc2a3a380cbaa750d43d785bd5.json	 Bucket: denethor	 FilePath: mafdb/mafdb_ef4846779bd2a38fad411bfd1dde1cf87f3cd8dc2a3a380cbaa750d43d785bd5.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_a1eedc391380a5657a304c22e8abeffea9d6dd787d36b21281414b4dc8af963a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_a1eedc391380a5657a304c22e8abeffea9d6dd787d36b21281414b4dc8af963a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_b68185c70cd2b2f6851e125ebe967c03331e2c7bb142d1bd978e8e475fd3780a.json	 Bucket: denethor	 FilePath: mafdb/mafdb_b68185c70cd2b2f6851e125ebe967c03331e2c7bb142d1bd978e8e475fd3780a.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:17:12.982Z FILE_TRANSFER RequestId: uuid_f35dfb4b_3ce5_4c62_93ea_a79a79369cda	 TransferType: consumed	 Action: download_from_s3	 FileName: mafdb_fdfd9f2efea889252a132e0d03e501efa853be19ae07f257f05331fec285e8d0.json	 Bucket: denethor	 FilePath: mafdb/mafdb_fdfd9f2efea889252a132e0d03e501efa853be19ae07f257f05331fec285e8d0.json	 FilePathLocal: .tmp/mafdb	 FileSize: 194 bytes	 TransferDuration: 0 ms
