[INFO] 2025-04-22T16:15:40.277Z START RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 Activity: maf_database_creator	 Provider: aws_ec2
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL728_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL728_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL728_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL728_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 415 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 245 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL763_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL763_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 407 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner1.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 187 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner2.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 185 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner3.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 241 bytes	 TransferDuration: 0 ms
[INFO] 2025-04-22T16:15:40.278Z FILE_TRANSFER RequestId: uuid_fba2e57c_46d1_41e8_aef8_f17afce146b6	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL780_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL780_Inner4.nexus	 FilePathLocal: .tmp/subtree	 FileSize: 399 bytes	 TransferDuration: 0 ms
