[INFO] 2025-05-07T17:07:56.054Z FILE_METRICS_START RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 674.71240452 ms	 ExecutionTag: file_metrics_tag_1746637676054
[INFO] 2025-05-07T17:08:01.602Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 139.75804100005007 ms
[INFO] 2025-05-07T17:08:01.702Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 99.71941100002368 ms
[INFO] 2025-05-07T17:08:01.822Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 119.69571999998152 ms
[INFO] 2025-05-07T17:08:01.922Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 99.81636699990304 ms
[INFO] 2025-05-07T17:08:02.042Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.63169300008758 ms
[INFO] 2025-05-07T17:08:02.142Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 193 bytes	 TransferDuration: 99.81000300001597 ms
[INFO] 2025-05-07T17:08:02.262Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 249 bytes	 TransferDuration: 119.69174799992288 ms
[INFO] 2025-05-07T17:08:02.382Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1021_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1021_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 119.74012899997888 ms
[INFO] 2025-05-07T17:08:02.502Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.74511200003235 ms
[INFO] 2025-05-07T17:08:02.602Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 251 bytes	 TransferDuration: 99.88699200005158 ms
[INFO] 2025-05-07T17:08:02.722Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 309 bytes	 TransferDuration: 119.51881300001332 ms
[INFO] 2025-05-07T17:08:02.942Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1023_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1023_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 413 bytes	 TransferDuration: 219.62801400002263 ms
[INFO] 2025-05-07T17:08:03.042Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1027_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 99.9231470000268 ms
[INFO] 2025-05-07T17:08:03.222Z FILE_TRANSFER RequestId: 618f0414-2b27-444b-a2d4-525716b07694	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1027_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1027_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 179.6636970000236 ms
