[INFO] 2025-04-20T19:33:44.996Z FILE_METRICS_START RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 S3Key: tree	 Provider: aws_lambda	 StartTime: 138.348863741 ms	 ExecutionTag: file_metrics_tag_1745177624996
[INFO] 2025-04-20T19:33:49.627Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1131.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1131.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 99.65283799999725 ms
[INFO] 2025-04-20T19:33:49.747Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1135.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1135.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.78026200000613 ms
[INFO] 2025-04-20T19:33:49.847Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1136.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1136.nexus	 FilePathLocal: /tmp/files	 FileSize: 403 bytes	 TransferDuration: 99.75258400001508 ms
[INFO] 2025-04-20T19:33:49.987Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1146.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1146.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 139.77309400002014 ms
[INFO] 2025-04-20T19:33:50.127Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1147.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1147.nexus	 FilePathLocal: /tmp/files	 FileSize: 409 bytes	 TransferDuration: 139.8142259999986 ms
[INFO] 2025-04-20T19:33:50.227Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1166.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1166.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 99.78635300001315 ms
[INFO] 2025-04-20T19:33:50.347Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1305.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1305.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.67723199998659 ms
[INFO] 2025-04-20T19:33:50.447Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1311.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1311.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 99.75782499998331 ms
[INFO] 2025-04-20T19:33:50.567Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1313.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1313.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.76300999998557 ms
[INFO] 2025-04-20T19:33:50.667Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1314.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1314.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 100.0454040000136 ms
[INFO] 2025-04-20T19:33:50.787Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1316.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1316.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 119.56329699998491 ms
[INFO] 2025-04-20T19:33:50.899Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1334.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1334.nexus	 FilePathLocal: /tmp/files	 FileSize: 357 bytes	 TransferDuration: 111.36779599999613 ms
[INFO] 2025-04-20T19:33:51.027Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1352.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1352.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 128.2081630000107 ms
[INFO] 2025-04-20T19:33:51.127Z FILE_TRANSFER RequestId: fa3ba732-4543-40bb-b9f2-0aca39e11ff8	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1359.nexus	 Bucket: denethor	 FilePath: tree/tree_ORTHOMCL1359.nexus	 FilePathLocal: /tmp/files	 FileSize: 349 bytes	 TransferDuration: 99.7694620000118 ms
