[INFO] 2025-04-20T22:02:25.767Z FILE_METRICS_START RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 S3Key: subtree	 Provider: aws_lambda	 StartTime: 1611.262075875 ms	 ExecutionTag: file_metrics_tag_1745186545767
[INFO] 2025-04-20T22:02:30.365Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.8746709999341 ms
[INFO] 2025-04-20T22:02:30.486Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 120.0482629999442 ms
[INFO] 2025-04-20T22:02:30.625Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 139.5624100000532 ms
[INFO] 2025-04-20T22:02:30.745Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1008_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1008_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 399 bytes	 TransferDuration: 119.78259299985439 ms
[INFO] 2025-04-20T22:02:30.885Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 139.7162279999975 ms
[INFO] 2025-04-20T22:02:31.005Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 191 bytes	 TransferDuration: 119.92653300012535 ms
[INFO] 2025-04-20T22:02:31.125Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.61191200020949 ms
[INFO] 2025-04-20T22:02:31.245Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1009_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1009_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 405 bytes	 TransferDuration: 119.85267999989446 ms
[INFO] 2025-04-20T22:02:31.365Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner1.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner1.nexus	 FilePathLocal: /tmp/files	 FileSize: 187 bytes	 TransferDuration: 119.85075799998413 ms
[INFO] 2025-04-20T22:02:31.485Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner2.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner2.nexus	 FilePathLocal: /tmp/files	 FileSize: 185 bytes	 TransferDuration: 119.64209799998571 ms
[INFO] 2025-04-20T22:02:31.616Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner3.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner3.nexus	 FilePathLocal: /tmp/files	 FileSize: 245 bytes	 TransferDuration: 130.0293879999117 ms
[INFO] 2025-04-20T22:02:31.765Z FILE_TRANSFER RequestId: de7d939c-2125-40b9-901c-3b1838c5b08d	 TransferType: consumed	 Action: download_from_s3	 FileName: tree_ORTHOMCL1018_Inner4.nexus	 Bucket: denethor	 FilePath: subtree/tree_ORTHOMCL1018_Inner4.nexus	 FilePathLocal: /tmp/files	 FileSize: 407 bytes	 TransferDuration: 149.6684539999933 ms
