[INFO] 2025-05-03T23:15:44.014Z FILE_METRICS_START RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 S3Key: data/full_dataset	 Provider: aws_lambda	 StartTime: 644.322883701 ms	 ExecutionTag: file_metrics_tag_1746314144013
[INFO] 2025-05-03T23:15:48.531Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1131	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1131	 FilePathLocal: /tmp/files	 FileSize: 4467 bytes	 TransferDuration: 99.79389400007221 ms
[INFO] 2025-05-03T23:15:48.648Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1135	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1135	 FilePathLocal: /tmp/files	 FileSize: 4854 bytes	 TransferDuration: 117.45124900005521 ms
[INFO] 2025-05-03T23:15:48.751Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1136	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1136	 FilePathLocal: /tmp/files	 FileSize: 4825 bytes	 TransferDuration: 102.00455299991518 ms
[INFO] 2025-05-03T23:15:48.851Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1146	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1146	 FilePathLocal: /tmp/files	 FileSize: 2757 bytes	 TransferDuration: 99.84041800009891 ms
[INFO] 2025-05-03T23:15:48.951Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1147	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1147	 FilePathLocal: /tmp/files	 FileSize: 3972 bytes	 TransferDuration: 99.87706399999752 ms
[INFO] 2025-05-03T23:15:49.066Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1166	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1166	 FilePathLocal: /tmp/files	 FileSize: 2896 bytes	 TransferDuration: 115.09343000000172 ms
[INFO] 2025-05-03T23:15:49.191Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1305	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1305	 FilePathLocal: /tmp/files	 FileSize: 3650 bytes	 TransferDuration: 124.37628599991513 ms
[INFO] 2025-05-03T23:15:49.291Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1311	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1311	 FilePathLocal: /tmp/files	 FileSize: 5874 bytes	 TransferDuration: 99.86469800003306 ms
[INFO] 2025-05-03T23:15:49.611Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1313	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1313	 FilePathLocal: /tmp/files	 FileSize: 4268 bytes	 TransferDuration: 319.86622099998385 ms
[INFO] 2025-05-03T23:15:49.771Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1314	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1314	 FilePathLocal: /tmp/files	 FileSize: 3952 bytes	 TransferDuration: 159.60262199996578 ms
[INFO] 2025-05-03T23:15:49.876Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1316	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1316	 FilePathLocal: /tmp/files	 FileSize: 4670 bytes	 TransferDuration: 105.14927999997781 ms
[INFO] 2025-05-03T23:15:49.991Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1334	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1334	 FilePathLocal: /tmp/files	 FileSize: 4282 bytes	 TransferDuration: 114.5840679999992 ms
[INFO] 2025-05-03T23:15:50.091Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1352	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1352	 FilePathLocal: /tmp/files	 FileSize: 4946 bytes	 TransferDuration: 99.85671899994486 ms
[INFO] 2025-05-03T23:15:50.191Z FILE_TRANSFER RequestId: fbbd8c13-65fd-4798-91e1-0d0099912862	 TransferType: consumed	 Action: download_from_s3	 FileName: ORTHOMCL1359	 Bucket: denethor	 FilePath: data/full_dataset/ORTHOMCL1359	 FilePathLocal: /tmp/files	 FileSize: 4020 bytes	 TransferDuration: 99.74758500004555 ms
